subjectname,subjectcode,creditHour,Semester,collegename,programname,levelname
Project Management,MGT464,3,6,Global College International,Bachelor of Business Administration,Bachelor
Entrepreneurship Development,MGT463,3,6,Global College International,Bachelor of Business Administration,Bachelor
Auditing,MGT462,3,6,Global College International,Bachelor of Business Administration,Bachelor
Management Information System,MGT461,3,6,Global College International,Bachelor of Business Administration,Bachelor
Forex Trading,MGT367,2,6,Global College International,Bachelor of Business Administration,Bachelor
Business Cycle and Financial Crisis,MGT366,2,6,Global College International,Bachelor of Business Administration,Bachelor
Taxation in Nepal,MGT365,3,6,Global College International,Bachelor of Business Administration,Bachelor
Project Management ,MGT364,2,6,Global College International,Bachelor of Business Administration,Bachelor
Financial Institutions and Market,MGT363,3,6,Global College International,Bachelor of Business Administration,Bachelor
Auditing,MGT362,3,6,Global College International,Bachelor of Business Administration,Bachelor
Management Information System,MGT361,2,6,Global College International,Bachelor of Business Administration,Bachelor
Food and Beverage Service II,BHM325,3,2,Global College International,Hotel Management,Bachelor
Housekeeping Operation II,BHM326,3,2,Global College International,Hotel Management,Bachelor
Internship,BHM371,15,7,Global College International,Hotel Management,Bachelor
Internship,BHM381,12,8,Global College International,Hotel Management,Bachelor
Project Report,BHM382,3,8,Global College International,Hotel Management,Bachelor
Business Finance,BTTM341,3,4,Global College International,Travel and Tourism Management,Bachelor
Tourism & Environment,BTTM342,3,4,Global College International,Travel and Tourism Management,Bachelor
Tourism Geography,BTTM343,3,4,Global College International,Travel and Tourism Management,Bachelor
Global Distribution System Ticketing,BTTM344,3,4,Global College International,Travel and Tourism Management,Bachelor
Entrepreneurship Dev.in Travel & Tourism,BTTM345,3,4,Global College International,Travel and Tourism Management,Bachelor
Tourism Law,BTTM351,3,5,Global College International,Travel and Tourism Management,Bachelor
E-Tourism,BTTM352,3,5,Global College International,Travel and Tourism Management,Bachelor
"Tourism Policy,Planning & Development",BTTM353,3,5,Global College International,Travel and Tourism Management,Bachelor
Tour Guiding,BTTM354,3,5,Global College International,Travel and Tourism Management,Bachelor
HRM for Travel & Tourism,BTTM355,3,5,Global College International,Travel and Tourism Management,Bachelor
Marketing for Travel & Tourism,BTTM361,3,6,Global College International,Travel and Tourism Management,Bachelor
Air Cargo Management ,BTTM362,3,6,Global College International,Travel and Tourism Management,Bachelor
Event Management ,BTTM363,3,6,Global College International,Travel and Tourism Management,Bachelor
Organizational Behaviour for T & T,BTTM364,3,6,Global College International,Travel and Tourism Management,Bachelor
Peace Tourism,BTTM365,3,6,Global College International,Travel and Tourism Management,Bachelor
Strategic Management for Tourism,BTTM371,3,7,Global College International,Travel and Tourism Management,Bachelor
Destination Management,BTTM372,3,7,Global College International,Travel and Tourism Management,Bachelor
Statistics & Research Methodology,BTTM373,3,7,Global College International,Travel and Tourism Management,Bachelor
Crisis & Disaster Management in Tourism,BTTM374,3,7,Global College International,Travel and Tourism Management,Bachelor
Airlines Operation Management,BTTM375,3,7,Global College International,Travel and Tourism Management,Bachelor
Internship Report ,BTTM381,15,8,Global College International,Travel and Tourism Management,Bachelor
Project Report ,BTTM382,15,8,Global College International,Travel and Tourism Management,Bachelor
Entrepreneurship Development,MGT374,3,7,Global College International,Bachelor of Business Administration,Bachelor
Consumer Behavior,MGT373,3,7,Global College International,Bachelor of Business Administration,Bachelor
Operation Research,MGT372,3,7,Global College International,Bachelor of Business Administration,Bachelor
Introduction to Sociology,MGT371,3,7,Global College International,Bachelor of Business Administration,Bachelor
Workshop on Database Management System,MGT376,1,7,Global College International,Bachelor of Business Administration,Bachelor
Investment Climate in Nepal,MGT375,3,7,Global College International,Bachelor of Business Administration,Bachelor
Research Methodology,MGT454,3,5,Global College International,Bachelor of Business Administration,Bachelor
Management Accounting,MGT453,3,5,Global College International,Bachelor of Business Administration,Bachelor
Strategic Management,MGT452,3,5,Global College International,Bachelor of Business Administration,Bachelor
Managerial Personality Development II,MGT377,2,7,Global College International,Bachelor of Business Administration,Bachelor
Blogs for Business,MGT387,2,8,Global College International,Bachelor of Business Administration,Bachelor
Tourism & Hospitality Inf. System,BHM322,3,2,Global College International,Hotel Management,Bachelor
Tourism Economics,BHM323,3,2,Global College International,Hotel Management,Bachelor
Food Production & Patisserie II,BHM324,3,2,Global College International,Hotel Management,Bachelor
Tourism Economics,BTTM321,3,2,Global College International,Travel and Tourism Management,Bachelor
Computer & Information Technology,BTTM322,3,2,Global College International,Travel and Tourism Management,Bachelor
Business Communication,BTTM323,3,2,Global College International,Travel and Tourism Management,Bachelor
Language I (Chinese/French/Spanish),BTTM324,3,2,Global College International,Travel and Tourism Management,Bachelor
Travel Service Operation Management II,BTTM325,3,2,Global College International,Travel and Tourism Management,Bachelor
Adventure Tourism,BTTM326,3,2,Global College International,Travel and Tourism Management,Bachelor
Acc. for Fin. Decision Making & Control,BHM321,3,2,Global College International,Hotel Management,Bachelor
Understanding Social Media,MGT386,1,8,Global College International,Bachelor of Business Administration,Bachelor
Virtual Marketing,MGT385,3,8,Global College International,Bachelor of Business Administration,Bachelor
Dissertation,MGT384,3,8,Global College International,Bachelor of Business Administration,Bachelor
Internship,MGT383,3,8,Global College International,Bachelor of Business Administration,Bachelor
Career Development,MGT382,2,8,Global College International,Bachelor of Business Administration,Bachelor
Entrepreneurship Practical,MGT381,2,8,Global College International,Bachelor of Business Administration,Bachelor
International Business Environment,MGT451,3,5,Global College International,Bachelor of Business Administration,Bachelor
Banking and Insurance Management,MGT455,3,5,Global College International,Bachelor of Business Administration,Bachelor
English Communication,BHM312,3,1,Global College International,Hotel Management,Bachelor
Principles of Management,BHM313,3,1,Global College International,Hotel Management,Bachelor
Food Production and Patisserie I,BHM314,3,1,Global College International,Hotel Management,Bachelor
Food and Beverage Service I,BHM315,3,1,Global College International,Hotel Management,Bachelor
Housekeeping Operation I,BHM316,3,1,Global College International,Hotel Management,Bachelor
Principles of Manaement,BTTM311,3,1,Global College International,Travel and Tourism Management,Bachelor
Foundamentals of Tourism,BTTM312,3,1,Global College International,Travel and Tourism Management,Bachelor
Introduction to Hospitality Management,BTTM313,3,1,Global College International,Travel and Tourism Management,Bachelor
